filename,top_label,top_score
recording_20250407_144046.wav,surprised,0.14308048784732819
recording_20250407_144130.wav,sad,0.13859279453754425
recording_20250407_144245.wav,surprised,0.13934043049812317
recording_20250407_145217.wav,surprised,0.13761389255523682
recording_20250407_145332.wav,surprised,0.13222938776016235
recording_20250407_145421.wav,surprised,0.1325346678495407
recording_20250407_145532.wav,surprised,0.14365258812904358
recording_20250407_145623.wav,sad,0.13463234901428223
recording_20250407_155244.wav,angry,0.13760632276535034
recording_20250407_160941.wav,sad,0.1370527744293213
recording_20250407_160959.wav,surprised,0.14442552626132965
recording_20250407_161201.wav,sad,0.1315704584121704
recording_20250407_163037.wav,surprised,0.1342705339193344
recording_20250407_163203.wav,surprised,0.14394167065620422
recording_20250407_163641.wav,surprised,0.13638043403625488
recording_20250407_163812.wav,surprised,0.13519053161144257
recording_20250407_164001.wav,angry,0.13734844326972961
recording_20250407_164017.wav,surprised,0.13307437300682068
recording_20250407_164216.wav,sad,0.13628795742988586
recording_20250407_164408.wav,surprised,0.13704869151115417
recording_20250407_164459.wav,sad,0.13728836178779602
recording_20250407_164535.wav,surprised,0.13882888853549957
recording_20250407_164708.wav,surprised,0.1404699683189392
recording_20250407_164742.wav,happy,0.13921625912189484
recording_20250407_164845.wav,happy,0.13940879702568054
recording_20250407_165027.wav,sad,0.13854359090328217
recording_20250407_165219.wav,surprised,0.13790464401245117
recording_20250407_165242.wav,surprised,0.13898831605911255
recording_20250407_165327.wav,sad,0.13493365049362183
recording_20250407_165643.wav,happy,0.13834883272647858
recording_20250407_165730.wav,sad,0.13248246908187866
recording_20250407_165800.wav,surprised,0.14008665084838867
recording_20250407_170129.wav,surprised,0.13441084325313568
recording_20250407_170250.wav,sad,0.13250355422496796
recording_20250407_170343.wav,surprised,0.13927920162677765
recording_20250407_170405.wav,sad,0.13761001825332642
recording_20250407_170703.wav,sad,0.1351565718650818
recording_20250407_170733.wav,surprised,0.14180712401866913
recording_20250407_170759.wav,surprised,0.13810262084007263
recording_20250407_170828.wav,surprised,0.13503703474998474
recording_20250407_181422.wav,surprised,0.14137323200702667
recording_20250407_181518.wav,sad,0.13233549892902374
recording_20250407_181531.wav,sad,0.1371491402387619
recording_20250407_181610.wav,sad,0.13368920981884003
recording_20250407_181747.wav,angry,0.1409858763217926
recording_20250407_181926.wav,angry,0.14093740284442902
recording_20250407_182126.wav,sad,0.13508662581443787
recording_20250407_182606.wav,surprised,0.1400865912437439
recording_20250407_182738.wav,surprised,0.13449649512767792
recording_20250407_183226.wav,surprised,0.1455385535955429
recording_20250407_183405.wav,surprised,0.13891001045703888
recording_20250407_190241.wav,surprised,0.14099152386188507
recording_20250407_190353.wav,surprised,0.13808226585388184
recording_20250407_190433.wav,sad,0.13427424430847168
recording_20250407_190509.wav,sad,0.13468529284000397
recording_20250407_190553.wav,surprised,0.13988624513149261
recording_20250407_190708.wav,angry,0.14003470540046692
recording_20250407_190744.wav,surprised,0.1357787400484085
recording_20250407_190847.wav,angry,0.13380426168441772
recording_20250407_221051.wav,happy,0.13900160789489746
